dataset name,error,v-score,r-score
DI_1000000_100_lin-randlin7,20,67.41573034,51.51767294
DI_1000000_100_lin-randlin8,5,77.27272727,89.17982615
DI_1000000_100_lin-randlin8,10,69.31818182,73.36968292
DI_1000000_100_lin-randlin8,20,54.54545455,45.31609169
DI_1000000_100_lin-randlin9,5,82.41758242,84.50193227
DI_1000000_100_lin-randlin9,10,75.82417582,71.62421663
DI_1000000_100_lin-randlin9,20,43.95604396,35.79212869
DI_1000000_200_lin-randlin0,5,69.71428571,78.98734636
DI_1000000_200_lin-randlin0,10,41.71428571,32.92291593
DI_1000000_200_lin-randlin0,20,24,16.32481796
DI_1000000_200_lin-randlin1,5,70.94972067,83.48611327
DI_1000000_200_lin-randlin1,10,51.95530726,53.15781523
DI_1000000_200_lin-randlin1,20,27.93296089,18.61210636
DI_1000000_200_lin-randlin2,5,57.47126437,74.51402518
DI_1000000_200_lin-randlin2,10,44.82758621,48.58127124
DI_1000000_200_lin-randlin2,20,17.81609195,17.67614039
DI_1000000_200_lin-randlin3,5,83.70786517,86.18297061
DI_1000000_200_lin-randlin3,10,65.16853933,56.92054997
DI_1000000_200_lin-randlin3,20,34.26966292,24.93679199
DI_1000000_200_lin-randlin4,5,71.35135135,81.18091212
DI_1000000_200_lin-randlin4,10,52.97297297,46.76296909
DI_1000000_200_lin-randlin4,20,29.72972973,12.95466693
DI_1000000_200_lin-randlin5,5,72.47191011,75.75335989
DI_1000000_200_lin-randlin5,10,48.31460674,41.14520117
DI_1000000_200_lin-randlin5,20,28.08988764,17.26374057
DI_1000000_200_lin-randlin6,5,62.06896552,73.98418592
DI_1000000_200_lin-randlin6,10,44.82758621,46.5208555
DI_1000000_200_lin-randlin6,20,28.16091954,25.01342447
DI_1000000_200_lin-randlin7,5,87.57062147,86.93033722
DI_1000000_200_lin-randlin7,10,62.71186441,56.34892768
DI_1000000_200_lin-randlin7,20,28.81355932,21.97188542
DI_1000000_200_lin-randlin8,5,75.95628415,88.55929971
DI_1000000_200_lin-randlin8,10,54.09836066,52.41646571
DI_1000000_200_lin-randlin8,20,30.05464481,18.72809471
DI_1000000_200_lin-randlin9,5,73.14285714,76.26186734
DI_1000000_200_lin-randlin9,10,54.28571429,44.59050937
DI_1000000_200_lin-randlin9,20,29.14285714,15.91227339
DI_1000000_500_lin-randlin0,5,45.16853933,50.61397745
DI_1000000_500_lin-randlin0,10,24.71910112,22.7230666
DI_1000000_500_lin-randlin0,20,11.68539326,7.148214885
DI_1000000_500_lin-randlin1,5,67.57369615,61.97932609
DI_1000000_500_lin-randlin1,10,40.36281179,26.12362461
DI_1000000_500_lin-randlin1,20,18.36734694,8.487741736
DI_1000000_500_lin-randlin2,5,58.3518931,52.70954886
DI_1000000_500_lin-randlin2,10,39.86636971,26.57104304
DI_1000000_500_lin-randlin2,20,18.26280624,8.608337863
DI_1000000_500_lin-randlin3,5,68.81959911,65.44870812
DI_1000000_500_lin-randlin3,10,36.74832962,21.91637281
DI_1000000_500_lin-randlin3,20,22.27171492,10.14933429
DI_1000000_500_lin-randlin4,5,38.95216401,52.4050175
DI_1000000_500_lin-randlin4,10,17.99544419,18.34962354
DI_1000000_500_lin-randlin4,20,12.5284738,8.671152159
DI_1000000_500_lin-randlin5,5,55.98194131,53.84712267
DI_1000000_500_lin-randlin5,10,33.86004515,25.71842176
DI_1000000_500_lin-randlin5,20,16.4785553,6.680862173
DI_1000000_500_lin-randlin6,5,60.77981651,58.14378546
DI_1000000_500_lin-randlin6,10,39.22018349,30.40141789
DI_1000000_500_lin-randlin6,20,12.3853211,7.472503461
DI_1000000_500_lin-randlin7,5,57.11159737,59.5338084
DI_1000000_500_lin-randlin7,10,35.88621444,26.44614995
DI_1000000_500_lin-randlin7,20,14.22319475,7.471955499
DI_1000000_500_lin-randlin8,5,50.79365079,52.97744477
DI_1000000_500_lin-randlin8,10,34.46712018,25.06781822
DI_1000000_500_lin-randlin8,20,16.55328798,9.164516498
DI_1000000_500_lin-randlin9,5,45.94594595,46.87178291
DI_1000000_500_lin-randlin9,10,28.15315315,24.63729564
DI_1000000_500_lin-randlin9,20,12.83783784,8.519577401
DI_1000000_10_zipf-invzipf0,5,100,100
DI_1000000_10_zipf-invzipf0,10,100,100
DI_1000000_10_zipf-invzipf0,20,100,100
DI_1000000_10_zipf-invzipf1,5,100,100
DI_1000000_10_zipf-invzipf1,10,100,100
DI_1000000_10_zipf-invzipf1,20,100,100
DI_1000000_10_zipf-invzipf2,5,100,100
DI_1000000_10_zipf-invzipf2,10,100,100
DI_1000000_10_zipf-invzipf2,20,100,100
DI_1000000_10_zipf-invzipf3,5,100,100
DI_1000000_10_zipf-invzipf3,10,100,100
DI_1000000_10_zipf-invzipf3,20,100,100
DI_1000000_10_zipf-invzipf6,5,100,100
DI_1000000_10_zipf-invzipf6,10,100,100
DI_1000000_10_zipf-invzipf6,20,100,100
DI_1000000_10_zipf-invzipf7,5,100,100
DI_1000000_10_zipf-invzipf7,10,100,100
DI_1000000_10_zipf-invzipf7,20,77.77777778,82.50332527
DI_1000000_10_zipf-invzipf8,5,100,100
DI_1000000_10_zipf-invzipf8,10,100,100
DI_1000000_10_zipf-invzipf8,20,100,100
DI_1000000_10_zipf-invzipf9,5,100,100
DI_1000000_10_zipf-invzipf9,10,100,100
DI_1000000_10_zipf-invzipf9,20,100,100
DI_1000000_50_zipf-invzipf0,5,93.33333333,99.99950934
DI_1000000_50_zipf-invzipf0,10,66.66666667,84.59239818
DI_1000000_50_zipf-invzipf0,20,37.77777778,62.24439059
DI_1000000_50_zipf-invzipf1,5,89.36170213,97.89022584
DI_1000000_50_zipf-invzipf1,10,76.59574468,89.52135764
DI_1000000_50_zipf-invzipf1,20,40.42553191,67.4178261
DI_1000000_50_zipf-invzipf2,5,88.88888889,95.04310034
DI_1000000_50_zipf-invzipf2,10,71.11111111,79.89198323
DI_1000000_50_zipf-invzipf2,20,46.66666667,67.30265294
DI_1000000_50_zipf-invzipf3,5,51.2195122,75.86953977
DI_1000000_50_zipf-invzipf3,10,58.53658537,79.8042787
DI_1000000_50_zipf-invzipf3,20,58.53658537,76.61589939
DI_1000000_50_zipf-invzipf4,5,95.55555556,97.85696288
