dataset name,error,v-score,r-score
DI_1000000_500_lin-invlin6,10,1.814058957,2.31384667
DI_1000000_500_lin-invlin6,20,2.267573696,3.073156198
DI_1000000_500_lin-invlin7,5,2.008928571,1.117743937
DI_1000000_500_lin-invlin7,10,1.5625,1.629696677
DI_1000000_500_lin-invlin7,20,1.785714286,1.712754955
DI_1000000_500_lin-invlin8,5,2.045454545,1.936704607
DI_1000000_500_lin-invlin8,10,2.5,2.971138339
DI_1000000_500_lin-invlin8,20,2.272727273,1.26686116
DI_1000000_500_lin-invlin9,5,0.8948545861,0.0004349726417
DI_1000000_500_lin-invlin9,10,3.355704698,2.964814092
DI_1000000_500_lin-invlin9,20,2.684563758,1.465757536
DI_1000000_10_lin-randlin0,5,100,100
DI_1000000_10_lin-randlin0,10,100,100
DI_1000000_10_lin-randlin0,20,75,53.78121974
DI_1000000_10_lin-randlin1,5,100,100
DI_1000000_10_lin-randlin1,10,100,100
DI_1000000_10_lin-randlin1,20,77.77777778,52.81720526
DI_1000000_10_lin-randlin2,5,100,100
DI_1000000_10_lin-randlin2,10,100,100
DI_1000000_10_lin-randlin2,20,100,100
DI_1000000_10_lin-randlin3,5,100,100
DI_1000000_10_lin-randlin3,10,100,100
DI_1000000_10_lin-randlin3,20,75,46.96170169
DI_1000000_10_lin-randlin4,5,100,100
DI_1000000_10_lin-randlin4,10,100,100
DI_1000000_10_lin-randlin4,20,100,100
DI_1000000_10_lin-randlin5,5,100,100
DI_1000000_10_lin-randlin5,10,100,100
DI_1000000_10_lin-randlin5,20,100,100
DI_1000000_10_lin-randlin8,5,100,100
DI_1000000_10_lin-randlin8,10,100,100
DI_1000000_10_lin-randlin8,20,100,100
DI_1000000_50_lin-randlin0,5,95.34883721,99.92382163
DI_1000000_50_lin-randlin0,10,83.72093023,87.56293807
DI_1000000_50_lin-randlin0,20,65.11627907,70.883577
DI_1000000_50_lin-randlin1,5,86.04651163,98.5019147
DI_1000000_50_lin-randlin1,10,81.39534884,91.76107944
DI_1000000_50_lin-randlin1,20,69.76744186,76.57541396
DI_1000000_50_lin-randlin2,5,82.22222222,98.04307001
DI_1000000_50_lin-randlin2,10,68.88888889,88.80339906
DI_1000000_50_lin-randlin2,20,42.22222222,54.30313336
DI_1000000_50_lin-randlin3,5,80,98.72642542
DI_1000000_50_lin-randlin3,10,77.77777778,94.43349888
DI_1000000_50_lin-randlin3,20,62.22222222,74.04711473
DI_1000000_50_lin-randlin4,5,100,100
DI_1000000_50_lin-randlin4,10,95.55555556,93.83129897
DI_1000000_50_lin-randlin4,20,57.77777778,41.01821368
DI_1000000_50_lin-randlin5,5,87.80487805,98.96222787
DI_1000000_50_lin-randlin5,10,82.92682927,94.99279432
DI_1000000_50_lin-randlin5,20,73.17073171,83.95343728
DI_1000000_50_lin-randlin6,5,83.72093023,98.7287011
DI_1000000_50_lin-randlin6,10,81.39534884,88.26019578
DI_1000000_50_lin-randlin6,20,41.86046512,52.50296056
DI_1000000_50_lin-randlin7,5,84.09090909,97.3610299
DI_1000000_50_lin-randlin7,10,88.63636364,98.82184203
DI_1000000_50_lin-randlin7,20,65.90909091,76.93737073
DI_1000000_50_lin-randlin8,5,90.47619048,99.50502404
DI_1000000_50_lin-randlin8,10,90.47619048,99.50502404
DI_1000000_50_lin-randlin8,20,42.85714286,47.47269801
DI_1000000_50_lin-randlin9,5,65.11627907,78.5249193
DI_1000000_50_lin-randlin9,10,86.04651163,93.63579017
DI_1000000_50_lin-randlin9,20,44.18604651,49.64669465
DI_1000000_100_lin-randlin0,5,89.77272727,93.41200514
DI_1000000_100_lin-randlin0,10,69.31818182,60.37630044
DI_1000000_100_lin-randlin0,20,59.09090909,45.4483056
DI_1000000_100_lin-randlin1,5,82.95454545,88.64932192
DI_1000000_100_lin-randlin1,10,80.68181818,77.40756366
DI_1000000_100_lin-randlin1,20,45.45454545,29.82565669
DI_1000000_100_lin-randlin2,5,90.90909091,96.97587294
DI_1000000_100_lin-randlin2,10,79.54545455,71.31265316
DI_1000000_100_lin-randlin2,20,59.09090909,39.45855901
DI_1000000_100_lin-randlin3,5,96.47058824,99.99960073
DI_1000000_100_lin-randlin3,10,80,73.25001928
DI_1000000_100_lin-randlin3,20,40,18.02407665
DI_1000000_100_lin-randlin4,5,95.50561798,99.99977651
DI_1000000_100_lin-randlin4,10,76.40449438,63.0854471
DI_1000000_100_lin-randlin4,20,51.68539326,32.63714539
DI_1000000_100_lin-randlin5,5,76.40449438,92.80852995
DI_1000000_100_lin-randlin5,10,67.41573034,75.67694686
DI_1000000_100_lin-randlin5,20,42.69662921,35.05550398
DI_1000000_100_lin-randlin6,5,83.33333333,77.6223122
DI_1000000_100_lin-randlin6,10,72.22222222,57.96173643
DI_1000000_100_lin-randlin6,20,47.77777778,34.52503778
DI_1000000_100_lin-randlin7,5,86.51685393,81.7493455
DI_1000000_100_lin-randlin7,10,80.8988764,72.00026758
DI_1000000_100_lin-randlin7,20,68.53932584,51.51796691
DI_1000000_100_lin-randlin8,5,80.68181818,92.53921528
DI_1000000_100_lin-randlin8,10,54.54545455,69.52930203
DI_1000000_100_lin-randlin8,20,44.31818182,44.18680688
DI_1000000_100_lin-randlin9,5,84.61538462,84.73607596
DI_1000000_100_lin-randlin9,10,80.21978022,71.85871597
DI_1000000_100_lin-randlin9,20,48.35164835,36.18135336
DI_1000000_200_lin-randlin0,5,65.71428571,78.08779728
DI_1000000_200_lin-randlin0,10,46.28571429,40.31532181
DI_1000000_200_lin-randlin0,20,28.57142857,21.10683973
DI_1000000_200_lin-randlin1,5,70.39106145,82.24691122
DI_1000000_200_lin-randlin1,10,44.69273743,44.49438223
DI_1000000_200_lin-randlin1,20,21.7877095,17.39179467
DI_1000000_200_lin-randlin2,5,72.4137931,83.61613639
DI_1000000_200_lin-randlin2,10,61.49425287,56.34758403
DI_1000000_200_lin-randlin2,20,28.73563218,21.00340873
DI_1000000_200_lin-randlin3,5,72.47191011,83.68665562
DI_1000000_200_lin-randlin3,10,50,50.8029373
DI_1000000_200_lin-randlin3,20,30.8988764,24.65709224
DI_1000000_200_lin-randlin4,5,73.51351351,81.31206381
DI_1000000_200_lin-randlin4,10,54.05405405,46.75382389
DI_1000000_200_lin-randlin4,20,25.40540541,12.61983073
DI_1000000_200_lin-randlin5,5,53.37078652,67.89040635
DI_1000000_200_lin-randlin5,10,33.70786517,33.54515642
DI_1000000_200_lin-randlin5,20,19.66292135,12.63966014
DI_1000000_200_lin-randlin6,5,60.91954023,71.2591477
DI_1000000_200_lin-randlin6,10,47.70114943,54.60060162
DI_1000000_200_lin-randlin6,20,21.83908046,21.43766748
DI_1000000_200_lin-randlin7,5,61.01694915,74.64457996
DI_1000000_200_lin-randlin7,10,43.50282486,48.69330135
DI_1000000_200_lin-randlin7,20,25.42372881,22.81762694
DI_1000000_200_lin-randlin8,5,68.30601093,87.6579292
DI_1000000_200_lin-randlin8,10,45.35519126,51.5344747
DI_1000000_200_lin-randlin8,20,27.32240437,18.94816923
DI_1000000_200_lin-randlin9,5,47.42857143,64.68744619
DI_1000000_200_lin-randlin9,10,31.42857143,24.73877049
DI_1000000_200_lin-randlin9,20,13.71428571,9.887981978
DI_1000000_500_lin-randlin0,5,37.52808989,51.73270918
DI_1000000_500_lin-randlin0,10,18.42696629,20.05075932
DI_1000000_500_lin-randlin0,20,8.988764045,7.52414772
DI_1000000_500_lin-randlin1,5,23.80952381,35.26057723
DI_1000000_500_lin-randlin1,10,14.51247166,16.33241684
DI_1000000_500_lin-randlin1,20,7.936507937,7.163138677
DI_1000000_500_lin-randlin2,5,32.51670379,42.6210221
DI_1000000_500_lin-randlin2,10,21.15812918,22.55162657
DI_1000000_500_lin-randlin2,20,10.02227171,7.540882364
DI_1000000_500_lin-randlin3,5,27.6169265,38.5180209
DI_1000000_500_lin-randlin3,10,12.91759465,12.14850344
DI_1000000_500_lin-randlin3,20,8.017817372,6.687241923
DI_1000000_500_lin-randlin4,5,26.65148064,41.2124516
DI_1000000_500_lin-randlin4,10,12.07289294,11.89064562
DI_1000000_500_lin-randlin4,20,7.972665148,6.081474151
DI_1000000_500_lin-randlin5,5,25.50790068,32.6291829
DI_1000000_500_lin-randlin5,10,19.18735892,21.06971451
DI_1000000_500_lin-randlin5,20,10.15801354,6.249258296
DI_1000000_500_lin-randlin6,5,31.19266055,43.61593663
DI_1000000_500_lin-randlin6,10,18.80733945,21.18833912
DI_1000000_500_lin-randlin6,20,8.71559633,7.357092539
DI_1000000_500_lin-randlin7,5,38.94967177,52.17543642
DI_1000000_500_lin-randlin7,10,21.44420131,21.59983141
DI_1000000_500_lin-randlin7,20,9.409190372,6.455994611
DI_1000000_500_lin-randlin8,5,27.66439909,35.51827591
DI_1000000_500_lin-randlin8,10,18.14058957,19.42543698
DI_1000000_500_lin-randlin8,20,10.88435374,8.417982695
DI_1000000_500_lin-randlin9,5,32.88288288,34.38552277
DI_1000000_500_lin-randlin9,10,24.32432432,21.74396085
DI_1000000_500_lin-randlin9,20,9.684684685,8.156634089
