dataset name,error,v-score,r-score
DI_1000000_500_lin-randlin6,20,8.486238532,6.578988578
DI_1000000_500_lin-randlin7,5,53.61050328,61.99561065
DI_1000000_500_lin-randlin7,10,29.5404814,26.11799731
DI_1000000_500_lin-randlin7,20,11.81619256,8.178411564
DI_1000000_500_lin-randlin8,5,46.71201814,55.60311451
DI_1000000_500_lin-randlin8,10,24.03628118,22.96201012
DI_1000000_500_lin-randlin8,20,12.01814059,8.334912348
DI_1000000_500_lin-randlin9,5,46.84684685,52.18868716
DI_1000000_500_lin-randlin9,10,28.82882883,25.74762237
DI_1000000_500_lin-randlin9,20,10.13513514,7.836737063
DI_1000000_10_zipf-invzipf0,5,100,100
DI_1000000_10_zipf-invzipf0,10,100,100
DI_1000000_10_zipf-invzipf0,20,100,100
DI_1000000_10_zipf-invzipf1,5,100,100
DI_1000000_10_zipf-invzipf1,10,100,100
DI_1000000_10_zipf-invzipf1,20,100,100
DI_1000000_10_zipf-invzipf2,5,100,100
DI_1000000_10_zipf-invzipf2,10,100,100
DI_1000000_10_zipf-invzipf2,20,100,100
DI_1000000_10_zipf-invzipf3,5,100,100
DI_1000000_10_zipf-invzipf3,10,100,100
DI_1000000_10_zipf-invzipf3,20,100,100
DI_1000000_10_zipf-invzipf6,5,100,100
DI_1000000_10_zipf-invzipf6,10,100,100
DI_1000000_10_zipf-invzipf6,20,100,100
DI_1000000_10_zipf-invzipf7,5,100,100
DI_1000000_10_zipf-invzipf7,10,100,100
DI_1000000_10_zipf-invzipf7,20,77.77777778,82.50332527
DI_1000000_10_zipf-invzipf8,5,100,100
DI_1000000_10_zipf-invzipf8,10,100,100
DI_1000000_10_zipf-invzipf8,20,100,100
DI_1000000_10_zipf-invzipf9,5,100,100
DI_1000000_10_zipf-invzipf9,10,100,100
DI_1000000_10_zipf-invzipf9,20,100,100
DI_1000000_50_zipf-invzipf0,5,95.55555556,99.99959539
DI_1000000_50_zipf-invzipf0,10,68.88888889,84.59248424
DI_1000000_50_zipf-invzipf0,20,40,62.24447665
DI_1000000_50_zipf-invzipf1,5,85.10638298,97.88978452
DI_1000000_50_zipf-invzipf1,10,72.34042553,89.52091632
DI_1000000_50_zipf-invzipf1,20,36.17021277,67.41738478
DI_1000000_50_zipf-invzipf2,5,86.66666667,95.04298593
DI_1000000_50_zipf-invzipf2,10,68.88888889,79.89186882
DI_1000000_50_zipf-invzipf2,20,44.44444444,67.30253853
DI_1000000_50_zipf-invzipf3,5,31.70731707,66.17832024
DI_1000000_50_zipf-invzipf3,10,34.14634146,68.09603358
